a,b,stratum,identity,cosine,same_family
O30509,O34966,random,0.1643,0.7659,False
P23813,Q7T292,random,0.1611,0.7797,False
Q922M3,Q9CQC7,random,0.1293,0.9118,False
P54227,Q803D2,random,0.1073,0.7573,False
P0A8A4,P48362,random,0.1683,0.9331,False
P32781,Q9JI13,random,0.055,0.8778,False
Q6PGU2,Q9C8J1,random,0.139,0.8583,False
Q13239,Q90423,random,0.1637,0.9301,False
P01747,P17542,random,0.0923,0.7065,False
Q9ASZ1,Q9CYF5,random,0.1408,0.8593,False
P38985,P97858,random,0.1269,0.7848,False
Q18533,Q98879,random,0.2105,0.9207,False
P40740,Q9CR61,random,0.0896,0.8756,False
P0A8B2,Q6P5L7,random,0.1533,0.8552,False
P53688,Q502C1,random,0.1067,0.9344,False
Q96IJ6,Q96NC0,random,0.1069,0.8285,False
Q08966,Q8N9Y4,random,0.1373,0.1955,False
P40042,Q00888,random,0.1024,0.8108,False
P42207,Q9FK04,random,0.1566,0.9332,False
P42315,Q8CCS2,random,0.1111,0.8726,False
Q91YU3,Q9W088,random,0.1409,0.8803,False
P37639,Q9M9B3,random,0.1388,0.8905,False
Q56Z59,Q9XGX9,random,0.0673,0.8797,False
P25454,Q92743,random,0.1693,0.9127,False
Q9NZ43,Q9SCK2,random,0.1081,0.905,False
P08431,P42906,random,0.1148,0.8429,False
P39835,Q5VUM1,random,0.0706,0.7928,False
Q16831,Q1PEY6,random,0.1323,0.9054,False
O70337,P62316,random,0.1562,0.8099,False
P14065,Q5H9L4,random,0.1501,0.813,False
Q8K183,Q9VJ97,random,0.1452,0.8863,False
P0C941,Q9VN19,random,0.15,0.9503,False
Q3ULJ0,Q9D495,random,0.1715,0.869,False
P16871,Q9LLR6,random,0.0697,0.7027,False
P00966,Q8W4F1,random,0.1647,0.9171,False
P20115,Q8C1I6,random,0.0633,0.5029,False
Q5CZ52,Q8BNI4,random,0.1142,0.8586,False
P09455,Q9SII0,random,0.1644,0.8915,False
H2KYQ5,O48822,random,0.1002,0.8878,False
O31584,P77218,random,0.1892,0.8849,False
Q2YDS5,Q93VI4,random,0.1547,0.8786,False
Q8CJC7,Q9CQG0,random,0.1445,0.9102,False
Q8NFH5,Q96MV1,random,0.1691,0.2319,False
B2RXH8,Q3UR32,random,0.1386,0.8766,False
Q2M2E3,Q8N5G0,random,0.084,0.9286,False
P46571,Q9SU75,random,0.1261,0.9257,False
P37095,Q8CJ70,random,0.1186,0.8191,False
Q93841,Q9FJL8,random,0.1491,0.8832,False
A0A087WW87,P02841,random,0.1488,0.7808,False
F4IPE3,Q5JQF8,random,0.1305,0.8213,False
O65458,Q9QZC7,random,0.1284,0.8259,False
O31965,Q9C545,random,0.1128,0.8671,False
P82909,Q9FXI7,random,0.1348,0.9441,False
P47111,Q9D9B0,random,0.13,0.7392,False
P43241,Q46925,random,0.1691,0.7455,False
P03985,P53171,random,0.1603,0.8611,False
P0DML2,Q96D59,random,0.188,0.9391,False
Q6DKK2,Q8N461,random,0.1644,0.9376,False
P19182,Q9XF63,random,0.1453,0.9327,False
O95231,Q8IXJ6,random,0.187,0.8695,False
Q1PE68,Q84L33,random,0.1425,0.8264,False
P48641,Q642M9,random,0.1631,0.8547,False
Q8C708,Q9M001,random,0.1328,0.8832,False
Q18936,Q5VWX1,random,0.1586,0.8176,False
Q8N104,Q9R0M1,random,0.0621,0.7545,False
P21243,Q96MC5,random,0.149,0.9203,False
P77650,Q4VBW0,random,0.1632,0.7896,False
P42795,Q86UP9,random,0.1434,0.9146,False
O75964,Q06266,random,0.0716,0.9405,False
Q14BT6,Q94300,random,0.1429,0.9037,False
Q0WQG8,Q45VN2,random,0.0621,0.8823,False
Q27896,Q9VLP9,random,0.1571,0.8871,False
Q9SV07,Q9VG95,random,0.1652,0.8052,False
P22574,Q9Y615,random,0.1333,0.8649,False
G5EGN3,P05052,random,0.109,0.8629,False
Q5HZ54,Q93Z96,random,0.157,0.914,False
Q91V51,Q9LVR5,random,0.153,0.9147,False
P0A703,P94360,random,0.0877,0.8664,False
P16263,Q9GIP4,random,0.1069,0.815,False
Q09608,Q96QA5,random,0.17,0.9293,False
Q07104,Q9SXC8,random,0.127,0.8377,False
Q7L3V2,Q9NX31,random,0.1694,0.9358,False
O14561,Q6NYD1,random,0.1346,0.8371,False
Q8S8N3,Q9JIZ0,random,0.1031,0.7116,False
A6ND01,Q9BYM8,random,0.1079,0.9045,False
P08101,P39820,random,0.1523,0.7356,False
P06961,Q9C7M1,random,0.192,0.7744,False
Q17886,Q8K1I3,random,0.1361,0.8958,False
P64534,Q96324,random,0.1256,0.8364,False
Q99326,Q99538,random,0.179,0.9382,False
P0A9M2,Q86WK6,random,0.1006,0.709,False
P97783,Q9FYL3,random,0.0697,0.9099,False
A2A9I7,O31893,random,0.0501,0.822,False
Q15014,Q91XV3,random,0.1419,0.7113,False
P0AB24,Q9SJW3,random,0.1093,0.9082,False
O55208,Q9LZG0,random,0.1343,0.8361,False
Q9H9V4,Q9UKS6,random,0.115,0.9086,False
P0ADR8,Q9BIB4,random,0.0915,0.9633,False
O35536,Q23221,random,0.14,0.8417,False
Q9D513,Q9Z121,random,0.0699,0.8848,False
A0A178U9T0,Q11184,random,0.0706,0.8255,False
P18005,Q0WPY0,random,0.1579,0.9549,False
Q17R55,Q8W4A5,random,0.1724,0.8992,False
P28062,Q8K2X3,random,0.1594,0.9386,False
P40476,Q9STY5,random,0.1358,0.9065,False
Q56X75,Q8C627,random,0.1004,0.8788,False
Q19269,Q6Y288,random,0.1489,0.8468,False
O15541,P01834,random,0.1079,0.7806,False
P53860,Q96NK8,random,0.1718,0.9147,False
Q13509,Q9D9S3,random,0.1247,0.935,False
Q14BQ3,Q5Y5T3,random,0.1204,0.966,False
P08637,P09813,random,0.1211,0.7815,False
P80244,Q8BPK2,random,0.12,0.8087,False
P09690,Q6DGK2,random,0.1628,0.8451,False
O34859,Q8TDE3,random,0.1093,0.8813,False
P38777,Q13887,random,0.1176,0.8827,False
P91027,Q07473,random,0.1928,0.8989,False
Q38945,Q7ZV43,random,0.1526,0.8483,False
P36952,Q503H1,random,0.1786,0.8323,False
P04456,Q0VAA2,random,0.0738,0.852,False
A0JMQ7,P47114,random,0.1784,0.8868,False
P02795,Q9JJ00,random,0.0755,0.8148,False
Q66HZ2,Q9VCG2,random,0.121,0.9179,False
O05243,Q9FI76,random,0.1706,0.8821,False
P50618,Q9LTE1,random,0.1837,0.9011,False
P37651,P94498,random,0.1481,0.8412,False
P07791,Q99KQ4,random,0.053,0.792,False
P02841,Q9VCZ8,random,0.1071,0.9093,False
P48603,Q9VJY6,random,0.1398,0.8945,False
O34453,Q8NES8,random,0.0634,0.7583,False
Q3UJ81,Q94C27,random,0.0997,0.8786,False
O35034,P36139,random,0.1201,0.8989,False
C0HKA2,P0DM41,random,0.1462,0.6518,False
Q12468,Q8BP40,random,0.1649,0.92,False
P11742,Q9XWU8,random,0.1068,0.9239,False
P0A7Y8,Q96A37,random,0.1435,0.7902,False
P22814,Q7TSP5,random,0.1445,0.7764,False
Q01851,Q9SF15,random,0.1564,0.8686,False
Q86WA6,Q8N9X5,random,0.1164,0.779,False
Q38805,Q9NP77,random,0.1134,0.848,False
O32090,Q99LN9,random,0.1367,0.835,False
Q30KP5,Q5F297,random,0.0676,0.8307,False
Q8N2R0,Q9D4F2,random,0.1696,0.8613,False
P16562,Q62422,random,0.1692,0.8539,False
P07236,Q6PHE8,random,0.1194,0.8941,False
O49561,Q8CCF0,random,0.1465,0.8914,False
Q9S7E4,Q9SD96,random,0.1624,0.8519,False
Q60571,Q8VYS8,random,0.1702,0.9405,False
B3H7A6,Q8RWH8,random,0.0957,0.2671,False
O82204,Q94EH2,random,0.1502,0.9061,False
A0A075B6L6,P17891,random,0.0864,0.7163,False
A7DTG3,Q9H944,random,0.1425,0.9317,False
O95983,Q09PK2,random,0.1718,0.9341,False
O34500,Q9LXJ7,random,0.1368,0.7358,False
Q03224,Q9QXV1,random,0.1554,0.8871,False
Q62220,Q9BL19,random,0.1008,0.1557,False
P01742,Q9VIP7,random,0.1045,0.6888,False
Q2V2P1,Q4PT23,random,0.062,0.6603,False
Q9LHP2,Q9SWX9,random,0.1481,0.6804,False
Q8CG80,Q9CXT7,random,0.1761,0.9137,False
Q13454,Q29Q28,random,0.1584,0.9037,False
P40078,P94425,random,0.0996,0.7147,False
Q8R1V4,Q941D6,random,0.1392,0.9013,False
Q8BWL5,Q8VY91,random,0.1293,0.8314,False
P54575,Q3URK1,random,0.1652,0.7405,False
P50277,Q9W088,random,0.1729,0.9175,False
P0ACR9,Q9XGX9,random,0.1307,0.8518,False
Q6PF05,Q9W3W5,random,0.1643,0.906,False
P64646,Q9FLI5,random,0.0433,0.885,False
F5H284,P35813,random,0.1325,0.8416,False
O23421,Q9FIU6,random,0.1218,0.803,False
P31057,Q8NDY4,random,0.1181,0.7367,False
Q9H0Y0,Q9STQ0,random,0.1432,0.8546,False
J3QMK6,Q9ZNU9,random,0.1002,0.7867,False
P12114,Q9P127,random,0.1584,0.8164,False
P77581,Q8C1E1,random,0.1949,0.7726,False
Q86XR8,Q9CR83,random,0.1135,0.9476,False
Q96I23,Q9ZU51,random,0.1776,0.9302,False
Q86SG4,Q9LU10,random,0.1,0.8379,False
P58035,P96729,random,0.1067,0.8486,False
P0AAH8,Q7T291,random,0.1631,0.8779,False
Q9H3H1,Q9LPL4,random,0.1708,0.8822,False
Q62394,Q9ZQY6,random,0.1494,0.937,False
P0ADK6,Q58FZ0,random,0.1821,0.8935,False
P06336,Q12206,random,0.173,0.8235,False
O17271,P62515,random,0.087,0.865,False
P21476,Q9NSE2,random,0.1042,0.8689,False
A3KNX5,Q9HAP6,random,0.1557,0.9293,False
A0A0G2KQY6,Q9XWN9,random,0.1226,0.9039,False
O48818,Q9JIY7,random,0.1493,0.8825,False
O04209,Q16559,random,0.1157,0.8844,False
P39377,Q5XJX1,random,0.1559,0.8796,False
P09067,Q9FL76,random,0.1746,0.8988,False
P0A6U5,Q24106,random,0.1256,0.7174,False
Q501J2,Q94AR4,random,0.1139,0.8919,False
Q94JX5,Q9DD18,random,0.1577,0.8908,False
P28618,Q5H9L4,random,0.1293,0.8054,False
Q6NS38,Q9UJA9,random,0.1313,0.8426,False
A0A1P8BH03,Q6IM86,random,0.0965,0.8868,False
Q8K558,Q9FE25,random,0.1331,0.797,False
P48543,P56079,random,0.159,0.883,False
A9JRE2,O82645,random,0.1503,0.9186,False
P52107,P75937,random,0.0796,0.7948,False
P96587,Q16520,random,0.0881,0.8236,False
P15260,Q9FFS9,random,0.1705,0.8877,False
Q9LF22,Q9LNI2,random,0.0886,0.8505,False
P0DTL6,P98080,random,0.1455,0.8161,False
F4IZC5,O43704,random,0.1773,0.842,False
Q9FH50,Q9GYU7,random,0.0943,0.9401,False
F4I9G2,Q9FIT1,random,0.1564,0.9338,False
P0C2L3,Q14BT6,random,0.1114,0.9194,False
Q6ZN32,Q9ZUV1,random,0.1497,0.7997,False
O04314,Q9CYF5,random,0.1645,0.8494,False
F4IC29,Q08931,random,0.1394,0.8715,False
P15974,Q86VZ2,random,0.103,0.5774,False
P34349,Q23369,random,0.1295,0.9613,False
Q6IQ63,Q9BIG4,random,0.1405,0.843,False
Q3URS9,Q8LCQ3,random,0.0911,0.9115,False
P0DKI0,P51682,random,0.1433,0.7236,False
Q7L9L4,Q9SNC0,random,0.16,0.9522,False
P10083,Q0P4A7,random,0.1313,0.9043,False
P0C2G5,P16870,random,0.1583,0.8296,False
P23492,Q9JL15,random,0.1738,0.8871,False
O01887,Q8WYH8,random,0.1304,0.8969,False
O60551,P0A8N0,random,0.1064,0.9516,False
P07903,Q7T3H7,random,0.1358,0.8761,False
F1R8Z9,O64700,random,0.1326,0.8968,False
Q5BKT4,Q9VE11,random,0.1088,0.7684,False
Q8VHB5,Q9H9L7,random,0.1419,0.8674,False
P0AFU0,Q9FJF6,random,0.0907,0.7539,False
Q96252,Q9D9S3,random,0.1492,0.9372,False
Q94981,Q9ZQ88,random,0.1537,0.9062,False
C0LLJ0,O95983,random,0.1211,0.9036,False
P25437,Q9HCE5,random,0.1481,0.8376,False
Q969D9,Q9C9H5,random,0.1136,0.8455,False
O65708,Q9XIF4,random,0.137,0.8764,False
O60543,Q12015,random,0.1333,0.9212,False
P53896,Q9ZWB8,random,0.1395,0.9114,False
Q75N73,Q86XR8,random,0.1516,0.9006,False
F4IQJ2,P70404,random,0.1485,0.9174,False
Q13595,Q5QNS5,random,0.1471,0.6228,False
P23445,P34480,random,0.1622,0.9003,False
O01404,P58340,random,0.1277,0.913,False
Q5BKT4,Q5GAN4,random,0.1071,0.797,False
O65657,Q02770,random,0.1325,0.9033,False
Q5TYX0,Q96H96,random,0.1549,0.7701,False
O95478,P92983,random,0.1294,0.9016,False
Q94L32,Q969E8,random,0.106,0.9358,False
Q66K66,Q9ZU51,random,0.1139,0.9134,False
Q7ZVJ8,Q9BQS2,random,0.1247,0.8413,False
P32645,Q8C7B6,random,0.1696,0.8548,False
Q9D081,Q9SH41,random,0.1818,0.8015,False
Q8N614,Q9C7J6,random,0.1221,0.851,False
P22605,Q9VLP9,random,0.1609,0.9216,False
P03950,Q9GZV9,random,0.1614,0.9555,False
Q5FWC3,Q60991,random,0.1213,0.8953,False
P0A8B2,P0AAJ3,random,0.1438,0.882,False
P23524,Q19826,random,0.1047,0.8007,False
Q07953,Q9IBD1,random,0.1369,0.7552,False
A2VCK2,Q9M1X5,random,0.1368,0.8535,False
P43694,Q3E784,random,0.0588,0.881,False
P35347,Q9JJR9,random,0.1148,0.7925,False
O82281,Q8K2H2,random,0.1577,0.9113,False
Q3UD01,Q62220,random,0.0893,0.1329,False
A6NHX0,Q9T0H9,random,0.1877,0.8696,False
Q08952,Q9SXP7,random,0.1655,0.8497,False
P0DPA2,Q5ND56,random,0.1406,0.8487,False
P54536,Q9CZG9,random,0.1528,0.7284,False
C0LLJ0,P54548,random,0.1389,0.8188,False
P06961,P96581,random,0.1635,0.8508,False
Q9FMA9,Q9SSR1,random,0.1894,0.8075,False
Q06349,Q8LBU2,random,0.1199,0.6268,False
O34368,O61788,random,0.1618,0.8161,False
O94905,P38356,random,0.1349,0.8952,False
P0DMN7,Q9UPQ4,random,0.1431,0.858,False
Q05031,Q9QXP0,random,0.1615,0.8999,False
Q8K459,Q9C029,random,0.047,0.6854,False
Q1PFI4,Q9LZF5,random,0.1675,0.8368,False
Q12153,Q9VHK6,random,0.0971,0.9033,False
O15315,P36163,random,0.165,0.9135,False
P35813,Q2M2D7,random,0.1503,0.8596,False
Q503Z8,Q9DB94,random,0.1408,0.8655,False
A6NNH2,Q91Z49,random,0.1503,0.8476,False
P47949,Q8LBI1,random,0.121,0.832,False
Q13491,Q8AW35,random,0.1218,0.9273,False
A2A9Q0,Q9SSK2,random,0.1527,0.8482,False
P0DKH1,Q9D0I6,random,0.0675,0.7611,False
P40403,P42580,random,0.1565,0.8511,False
P46548,Q8S8N1,random,0.0689,0.7529,False
Q5TGS1,Q9BIG4,random,0.1152,0.7056,False
P30085,Q86YG4,random,0.133,0.8716,False
Q8IZP7,Q9LK34,random,0.145,0.9021,False
O76014,P28845,random,0.1397,0.8207,False
F4JML5,G5EEV9,random,0.1532,0.8121,False
P0A7B3,P18935,random,0.1877,0.7899,False
Q9C6V4,Q9ZW03,random,0.1401,0.637,False
O31986,P06869,random,0.1564,0.8628,False
P76037,Q9D4C9,random,0.1381,0.8575,False
P96696,Q9LJG3,random,0.1446,0.8718,False
P0C2G5,P45376,random,0.1707,0.8105,False
P23527,Q9CQ54,random,0.1489,0.9251,False
P15378,Q39172,random,0.1582,0.7174,False
P75949,Q9HAW0,random,0.1604,0.8846,False
P01795,P0C1Z6,random,0.1418,0.7714,False
P49768,P75915,random,0.1199,0.9365,False
Q6NLB1,Q9C8Y3,random,0.1458,0.9305,False
P53561,Q96QA5,random,0.1518,0.4058,False
Q45594,Q9C8J4,random,0.1435,0.9117,False
G5EFS2,P24521,random,0.1746,0.8517,False
Q64016,Q9ZQA1,random,0.0619,0.6407,False
P0C7R1,Q05611,random,0.1728,0.9697,False
P02585,Q8R0X2,random,0.1061,0.7128,False
P0ABK5,Q9BWH2,random,0.1626,0.866,False
P40337,Q9FME2,random,0.1333,0.893,False
O32104,Q6PBN5,random,0.1135,0.8778,False
Q6NME7,Q9Y4P1,random,0.0891,0.8686,False
Q1PDT6,Q503V1,random,0.1371,0.8328,False
O34392,O88346,random,0.1642,0.7453,False
P43557,Q8MR45,random,0.112,0.9099,False
Q502H1,Q9SX52,random,0.1065,0.8672,False
Q9FHX5,Q9NZ43,random,0.1359,0.879,False
A6NN92,P39107,random,0.1212,0.9332,False
A6NI15,Q9V4C0,random,0.1052,0.8442,False
Q8CGR5,Q92643,random,0.1297,0.7584,False
O60239,Q3UR32,random,0.1332,0.9247,False
P51682,Q6ICC9,random,0.1405,0.7132,False
P34696,P97299,random,0.1284,0.821,False
P96718,Q9JJC9,random,0.1407,0.8093,False
O08717,Q9SRM9,random,0.1535,0.846,False
C9J1S8,P22574,random,0.1385,0.8961,False
P36001,Q9XGY4,random,0.0628,0.8281,False
P42407,Q9FLF4,random,0.1509,0.8528,False
P26196,Q9CWG9,random,0.0982,0.9008,False
Q1LWL2,Q6ZWI9,random,0.1328,0.8675,False
F4I4E1,P10403,random,0.0845,0.9085,False
P32395,Q9FIT1,random,0.1548,0.7663,False
F8WCM5,Q5EAF2,random,0.1345,0.7805,False
Q5XV67,Q96510,random,0.1429,0.9624,False
Q3E7Y6,Q3E9T2,random,0.0616,0.8972,False
Q4FZH1,Q8R035,random,0.1283,0.8814,False
O35153,Q9VYX7,random,0.1353,0.8103,False
P36872,Q46855,random,0.142,0.8817,False
O34769,P16523,random,0.1345,0.8906,False
Q9NQW5,Q9VR82,random,0.1636,0.9491,False
O81057,Q9SDS8,random,0.1187,0.8929,False
P68032,Q9CPX6,random,0.1883,0.7068,False
P55058,Q9QUK3,random,0.16,0.9156,False
Q12000,Q8S8M2,random,0.0899,0.7346,False
Q8JZS0,Q94AP0,random,0.112,0.8813,False
Q8NEQ5,Q9C7P1,random,0.1003,0.8925,False
Q95XG7,Q9LTJ6,random,0.1091,0.8301,False
Q07627,Q64478,random,0.1173,0.7132,False
P03964,Q9SF21,random,0.1423,0.8427,False
Q47706,Q8BGR8,random,0.0926,0.9129,False
A0A0C4DH59,F4HRC1,random,0.0752,0.7013,False
P24699,Q99622,random,0.1294,0.9222,False
O14817,Q9IBD1,random,0.1466,0.6828,False
Q9LNT9,Q9SRS9,random,0.1708,0.8933,False
Q3E798,Q6UWJ8,random,0.0838,0.8719,False
P0A8Y8,Q9HA72,random,0.1323,0.8116,False
A0A0A6YYK7,Q99436,random,0.1357,0.7272,False
A0A075B6S2,P54332,random,0.1688,0.7645,False
A6NHN6,P56557,random,0.0796,0.8521,False
Q8BVI5,Q9UIW0,random,0.1601,0.8508,False
P14306,P38865,random,0.1213,0.9279,False
Q08218,Q9SVC6,random,0.1377,0.9214,False
O75934,Q5U3V7,random,0.1358,0.8378,False
P29692,Q12265,random,0.1549,0.9563,False
P24013,P32452,random,0.0958,0.8717,False
P13634,Q9SPE5,random,0.1531,0.7081,False
P0CB48,Q9D9W0,random,0.1505,0.9507,False
P01762,Q8C6A8,random,0.1099,0.7348,False
O24598,Q9BQP9,random,0.1581,0.8731,False
Q9FF53,Q9H963,random,0.1122,0.5479,False
P01665,P07256,random,0.081,0.7034,False
Q13641,Q9LND9,random,0.1367,0.7499,False
O80488,P21560,random,0.1727,0.5897,False
Q9LNI5,Q9VLA1,random,0.0704,0.9281,False
P40581,Q5XIX8,random,0.1362,0.6822,False
P45568,Q96RP8,random,0.1364,0.845,False
Q9CWV7,Q9JIB4,random,0.1431,0.9451,False
Q9SKC9,Q9W1Y1,random,0.1429,0.9145,False
Q1JUZ1,Q9LVR5,random,0.1637,0.9178,False
P45955,Q9BZI1,random,0.1324,0.7953,False
A4IJ27,Q99L45,random,0.1293,0.9283,False
P45577,Q96286,random,0.1653,0.8908,False
P16451,Q64707,random,0.1339,0.875,False
O35011,Q03288,random,0.084,0.8981,False
P0CW19,Q9JIX9,random,0.0744,0.8955,False
Q8JZL3,Q9D0J8,random,0.1244,0.8,False
P06722,Q6NXT4,random,0.1305,0.9308,False
P46850,Q9FK16,random,0.049,0.8368,False
Q9D211,Q9LMX5,random,0.1121,0.9296,False
A4D2B0,P64534,random,0.1011,0.8269,False
P0C7Q5,Q9CX48,random,0.1124,0.7147,False
P01149,Q8L9Y2,random,0.1407,0.7309,False
Q5XG73,Q9LD28,random,0.0945,0.9284,False
Q08334,Q8R4T1,random,0.1231,0.8149,False
Q6SKR2,Q9BRU9,random,0.1744,0.8665,False
P84751,P91913,random,0.1513,0.7013,False
P0AD70,Q9ZVQ4,random,0.1481,0.848,False
Q06205,Q9CAR7,random,0.1578,0.8762,False
O22683,Q9M1W4,random,0.1467,0.8862,False
O50061,Q9ER71,random,0.1419,0.803,False
P37348,Q9NQ84,random,0.1419,0.9006,False
Q10660,Q5CZN0,random,0.1318,0.9067,False
P40154,Q3SX64,random,0.149,0.8371,False
A0A1I9LQ12,P59022,random,0.1217,0.7725,False
P97807,Q20701,random,0.1567,0.9012,False
P91167,Q2TAL6,random,0.0892,0.911,False
Q03557,Q9SJP9,random,0.169,0.8499,False
Q00916,Q0WMR0,random,0.15,0.8631,False
A3QK16,P53755,random,0.1269,0.9121,False
Q08930,Q91V04,random,0.1888,0.9398,False
O75436,Q9Z2Q6,random,0.1751,0.946,False
P07902,Q8VZ42,random,0.1447,0.886,False
P0DN25,Q15464,random,0.1389,0.8651,False
P18827,P43117,random,0.1615,0.841,False
O64749,Q4V920,random,0.1643,0.907,False
Q9R0L9,Q9VHT4,random,0.1374,0.8094,False
A8MQX3,P91277,random,0.063,0.8383,False
P36018,Q19832,random,0.1325,0.8322,False
Q568T4,Q99983,random,0.1176,0.8714,False
Q5TA77,Q96P09,random,0.0921,0.7638,False
P96707,Q9WVF8,random,0.1244,0.7897,False
P03872,Q9SV31,random,0.1574,0.863,False
P0C054,Q2EEQ8,random,0.1594,0.8193,False
P33021,Q94C27,random,0.1544,0.809,False
P34697,P49813,random,0.1253,0.8837,False
P04173,Q9D6I3,random,0.1096,0.9271,False
Q84X53,Q9SV68,random,0.1457,0.8174,False
P39013,Q9NV12,random,0.1289,0.877,False
P07026,P46852,random,0.1273,0.9036,False
P39902,Q93170,random,0.1127,0.896,False
P45570,Q8TE69,random,0.1789,0.77,False
P08637,Q6NWA8,random,0.1691,0.8362,False
Q20647,Q91VT8,random,0.1164,0.8264,False
P76142,Q02721,random,0.1652,0.8217,False
E9Q8Q8,P21614,random,0.1426,0.9333,False
O31752,Q8AWD1,random,0.1429,0.7774,False
Q99633,Q9FY69,random,0.2139,0.9494,False
Q6TGZ5,Q96LK8,random,0.1648,0.8577,False
Q07627,Q8W3M6,random,0.1,0.729,False
Q9SIH1,Q9VHB3,random,0.1357,0.8956,False
O08884,Q9M1V5,random,0.0702,0.2958,False
O32198,Q93038,random,0.1253,0.8081,False
P0CF40,P82930,random,0.1486,0.8385,False
P76773,Q8WW59,random,0.1462,0.7395,False
O22468,O32198,random,0.1512,0.7887,False
Q5HZK2,Q62447,random,0.1834,0.9233,False
Q4V922,Q7ZWJ3,random,0.1349,0.9545,False
F4JIJ7,P48756,random,0.1569,0.9191,False
O35002,P0ACL7,random,0.1423,0.8495,False
O43820,Q9FH50,random,0.1294,0.8104,False
Q13158,Q7JW27,random,0.1082,0.9271,False
A0A0C4DH69,Q08E93,random,0.1333,0.6598,False
A0A0C4DH31,P31412,random,0.0842,0.6695,False
P56693,Q9ZR02,random,0.0987,0.796,False
Q8R043,Q9NPB3,random,0.1091,0.8368,False
P0DJI9,P40420,random,0.0976,0.8284,False
O02101,O17842,random,0.1302,0.9172,False
O54743,P56557,random,0.1047,0.8242,False
P0A8R7,Q658K8,random,0.136,0.9153,False
P54274,Q9T0D7,random,0.1131,0.9262,False
P06965,P41442,random,0.1241,0.8278,False
Q3UUV5,Q71RH2,random,0.1405,0.882,False
P38689,Q96A35,random,0.1538,0.8875,False
O01824,P24192,random,0.1679,0.8905,False
P41936,Q16864,random,0.0867,0.8867,False
O17071,Q9Y603,random,0.154,0.8873,False
Q6P6J0,Q9STM6,random,0.1155,0.844,False
F4JMI5,Q7Z5A7,random,0.0709,0.9318,False
Q8IY26,Q9QXT1,random,0.13,0.8686,False
C0HKC8,O32146,random,0.1033,0.8631,False
O35618,Q9M8X4,random,0.1263,0.894,False
Q84W66,Q9UK22,random,0.1495,0.9041,False
P0CW82,Q9FPS0,random,0.0808,0.6735,False
O34861,Q8CE93,random,0.1487,0.9006,False
Q8RWH8,Q9UPQ4,random,0.1512,0.2723,False
O80803,P63121,random,0.1354,0.8798,False
P53729,Q13670,random,0.1344,0.9048,False
M9PF61,P0AG00,random,0.1693,0.8006,False
P41849,Q08857,random,0.1655,0.9106,False
Q9M1K3,Q9SNY3,random,0.1545,0.7913,False
P32969,Q96273,random,0.0923,0.8702,False
Q7M723,Q94L32,random,0.1588,0.847,False
Q15545,Q19905,random,0.137,0.8994,False
P41958,Q9H4I9,random,0.1107,0.9249,False
Q8VI88,Q9Z126,random,0.0884,0.7968,False
P0DJG4,Q3TLP5,random,0.1419,0.7627,False
O01634,Q19366,random,0.1673,0.9254,False
Q80ZI1,Q9SL94,random,0.1621,0.8088,False
A1KXC4,Q3UYI6,random,0.1902,0.9272,False
Q9C7I3,Q9FZ76,random,0.1583,0.9014,False
Q12226,Q66K66,random,0.1374,0.8314,False
F4J8R4,Q9FHH5,random,0.0995,0.9379,False
Q09304,Q9CX11,random,0.1691,0.9309,False
Q1EC69,Q9LI65,random,0.1528,0.7078,False
O34838,Q8IWP9,random,0.1131,0.8843,False
Q4V922,Q9NPJ3,random,0.1133,0.8006,False
O32268,Q0WRC9,random,0.1295,0.7414,False
Q92743,Q9LTF2,random,0.1111,0.8676,False
O75012,Q9BYP9,random,0.1346,0.6291,False
P41971,Q86UY6,random,0.1436,0.8907,False
Q9SI18,Q9V427,random,0.1401,0.911,False
O74700,Q9JHT5,random,0.093,0.8382,False
Q9C540,Q9SEZ9,random,0.1293,0.8664,False
Q9D1N9,Q9LII0,random,0.1462,0.8301,False
P56790,Q9SSR8,random,0.0613,0.7072,False
O15400,Q9S7R4,random,0.1382,0.7954,False
P07743,P97443,random,0.1185,0.8572,False
O43924,Q9FKF7,random,0.1256,0.9761,False
O34870,P00966,random,0.138,0.8197,False
P42791,Q9D5H4,random,0.1446,0.8906,False
Q16548,Q67XC4,random,0.1386,0.8475,False
Q94KK7,Q9DEX7,random,0.1275,0.8648,False
P41158,Q9V784,random,0.1481,0.8512,False
O45291,Q99LG1,random,0.1429,0.9259,False
O80775,Q9XHV0,random,0.15,0.8553,False
P41160,Q94A79,random,0.0993,0.946,False
P25807,P31995,random,0.1566,0.7978,False
P21952,Q9BXS6,random,0.1479,0.8614,False
Q8NE22,Q96QU4,random,0.1545,0.8959,False
A8MQA4,P13483,random,0.0984,0.8625,False
P69411,Q9LJB4,random,0.0891,0.831,False
P16700,Q9MA17,random,0.1671,0.8288,False
P35537,Q8N9X5,random,0.1336,0.6966,False
P46570,Q02950,random,0.1479,0.9237,False
Q9D753,Q9LK48,random,0.1417,0.9129,False
G5EDE5,Q52QU1,random,0.1311,0.9268,False
O05511,Q9SMP2,random,0.0603,0.7924,False
Q06134,Q9SSM7,random,0.1292,0.8894,False
O81914,Q14728,random,0.1489,0.7422,False
Q9DCF1,Q9FZF1,random,0.1755,0.8819,False
O14977,P0C7Q1,random,0.1314,0.8471,False
P97953,Q944P0,random,0.1565,0.8963,False
